epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7052.57,1.18304,1.09513,1.32902,0.72878,0.65261,0.69135,0.46138,1.16977,0.98454,1.13899,0.000494885,0.000494885,0.000494885
43,7200.6,1.17084,1.07304,1.32217,0.74324,0.66307,0.70584,0.45813,1.20116,0.99346,1.14326,0.000486639,0.000486639,0.000486639
44,7348.83,1.16784,1.06545,1.32271,0.71695,0.66327,0.69939,0.45658,1.18702,1.00479,1.13837,0.000478392,0.000478392,0.000478392
45,7494.92,1.16305,1.05416,1.31434,0.72481,0.66334,0.70495,0.46982,1.1849,1.00143,1.13502,0.000470145,0.000470145,0.000470145
46,7639.74,1.16025,1.04227,1.30789,0.75825,0.67549,0.70627,0.45854,1.19225,0.98859,1.14891,0.000461898,0.000461898,0.000461898
47,7785.17,1.16063,1.05381,1.30688,0.7261,0.65899,0.70369,0.45858,1.20232,0.98929,1.13874,0.000453652,0.000453652,0.000453652
48,7930.13,1.1533,1.03616,1.30752,0.73325,0.68218,0.70852,0.46793,1.15563,0.95681,1.11924,0.000445405,0.000445405,0.000445405
49,8078.98,1.14564,1.03039,1.2962,0.71479,0.66581,0.70326,0.45828,1.20497,0.96642,1.12918,0.000437158,0.000437158,0.000437158
50,8226.36,1.13644,1.01611,1.28756,0.69962,0.69621,0.70883,0.46056,1.17773,0.9629,1.12879,0.000428912,0.000428912,0.000428912
51,8372.44,1.13251,0.99821,1.28128,0.73901,0.67986,0.71645,0.47016,1.17145,0.95859,1.12062,0.000420665,0.000420665,0.000420665
52,8517.95,1.13755,1.0103,1.29057,0.74143,0.65842,0.70379,0.45482,1.1894,0.97362,1.12049,0.000412418,0.000412418,0.000412418
53,8663.61,1.12846,0.99703,1.27688,0.73072,0.66771,0.70925,0.46693,1.16247,0.94995,1.12208,0.000404172,0.000404172,0.000404172
54,8808.44,1.13212,0.99872,1.285,0.76382,0.66544,0.71591,0.47571,1.16203,0.93444,1.1176,0.000395925,0.000395925,0.000395925
55,8955.54,1.12242,0.98872,1.27591,0.7387,0.66569,0.70859,0.47091,1.16566,0.95758,1.1154,0.000387678,0.000387678,0.000387678
56,9105.01,1.12339,0.98749,1.27471,0.77067,0.66137,0.71469,0.48168,1.14965,0.94387,1.11111,0.000379431,0.000379431,0.000379431
57,9252.25,1.11416,0.98179,1.27171,0.74497,0.69223,0.71897,0.4923,1.12251,0.93213,1.09539,0.000371185,0.000371185,0.000371185
58,9400,1.1099,0.96386,1.26465,0.73067,0.68889,0.72607,0.47646,1.16875,0.9492,1.1123,0.000362938,0.000362938,0.000362938
59,9544.88,1.10269,0.96045,1.26354,0.75367,0.68028,0.72272,0.47931,1.15439,0.93317,1.10403,0.000354691,0.000354691,0.000354691
60,9691.78,1.09427,0.95399,1.25818,0.74181,0.68662,0.71499,0.47879,1.15669,0.93121,1.11302,0.000346445,0.000346445,0.000346445
61,9840.09,1.09986,0.95659,1.25996,0.78735,0.65467,0.72889,0.47589,1.17366,0.93572,1.11294,0.000338198,0.000338198,0.000338198
62,9989.64,1.09177,0.95073,1.25599,0.74679,0.68665,0.73071,0.47778,1.17186,0.93129,1.11099,0.000329951,0.000329951,0.000329951
63,10137,1.09116,0.94103,1.25441,0.76254,0.6885,0.72751,0.47804,1.15578,0.93295,1.10175,0.000321705,0.000321705,0.000321705
64,10285,1.08385,0.93112,1.24857,0.7635,0.67765,0.73012,0.48082,1.15054,0.92461,1.09539,0.000313458,0.000313458,0.000313458
65,10435.2,1.08634,0.92636,1.2496,0.78304,0.68344,0.74106,0.49509,1.15534,0.90449,1.10429,0.000305211,0.000305211,0.000305211
